,PMID,Chemical
3,12588812,iodine radioisotopes
3,12588812,thyroid hormones
3,12588812,calcitonin
3,12588812,thyroxine
5,14599114,radiopharmaceuticals
5,14599114,sodium pertechnetate tc 99m
9,12150346,iodine
10,12025449,iodine
11,14615127,antithyroid agents
11,14615127,iodine radioisotopes
12,14615126,antibodies
12,14615126,antithyroid agents
12,14615126,iodine radioisotopes
12,14615126,"receptors, thyrotropin"
12,14615126,thyrotropin
14,12504972,iodine
16,16444160,hla antigens
17,16444159,membrane transport proteins
17,16444159,"slc26a4 protein, human"
17,16444159,sulfate transporters
17,16444159,iodine
18,12380491,hla-dr antigens
18,12380491,immunoglobulins
18,12380491,iodine
19,11989300,iodine radioisotopes
21,11863477,iodine
23,12213883,apoptosis regulatory proteins
23,12213883,cysteine proteinase inhibitors
23,12213883,membrane glycoproteins
23,12213883,recombinant proteins
23,12213883,tnf-related apoptosis-inducing ligand
23,12213883,"tnfsf10 protein, human"
23,12213883,tumor necrosis factor-alpha
23,12213883,fas receptor
23,12213883,lactacystin
23,12213883,keratins
23,12213883,interferon-gamma
23,12213883,acetylcysteine
24,15513011,immunosuppressive agents
25,12132533,thyroid hormones
26,12638522,"receptors, thyrotropin"
27,12685194,biomarkers
27,12685194,iodine
28,12005006,iodine radioisotopes
29,12398572,thyrotropin
29,12398572,lithium
29,12398572,thyroxine
30,12481947,iodides
30,12481947,"sodium chloride, dietary"
30,12481947,iodized salt
30,12481947,iodine
30,12481947,creatinine
32,12463103,antibodies
32,12463103,"sodium chloride, dietary"
32,12463103,thyroid hormones
32,12463103,iodized salt
32,12463103,iodine
33,12600858,"sodium chloride, dietary"
33,12600858,thyroid hormones
33,12600858,iodized salt
33,12600858,iodine
34,11989103,ec 3.6.1.
35,12487773,"sodium chloride, dietary"
35,12487773,iodized salt
35,12487773,iodine
37,11936463,iodine
41,14564411,genetic markers
43,11796476,methimazole
45,14759072,"sodium chloride, dietary"
45,14759072,iodized salt
45,14759072,iodine
46,12899791,thyrotropin
46,12899791,thyroglobulin
49,12034056,iodine radioisotopes
50,14626634,apolipoproteins
50,14626634,serum amyloid a protein
51,12544137,iodine radioisotopes
51,12544137,radiopharmaceuticals
51,12544137,sodium pertechnetate tc 99m
52,14519572,thyroid hormones
54,12615754,antithyroid agents
54,12615754,iodine radioisotopes
54,12615754,methimazole
55,12024947,thyroid hormones
55,12024947,iodine
56,12008694,iodine
57,12463104,thyroid hormones
57,12463104,ferritins
57,12463104,iodine
60,12729472,dna primers
60,12729472,"inhbb protein, human"
60,12729472,"inhbb protein, rat"
60,12729472,"rna, messenger"
60,12729472,inhibin beta a subunit
60,12729472,methimazole
60,12729472,inhibin-beta subunits
63,12841824,antithyroid agents
63,12841824,iodine radioisotopes
63,12841824,thyroid hormones
65,12240895,iodine
68,12973869,glucocorticoids
68,12973869,prednisolone
69,12762634,iodine
70,12530620,thyroid hormones
70,12530620,thyrotropin
70,12530620,thyroxine
71,12006721,biomarkers
71,12006721,inflammation mediators
71,12006721,thyroid hormones
74,12490836,iodine radioisotopes
78,17016950,"sodium chloride, dietary"
78,17016950,iodized salt
78,17016950,iodine
80,14602763,triiodothyronine
80,14602763,"3,3',5-triiodothyroacetic acid"
80,14602763,thyroxine
81,12094148,apoptosis regulatory proteins
81,12094148,"faslg protein, human"
81,12094148,fas ligand protein
81,12094148,membrane glycoproteins
81,12094148,tnf-related apoptosis-inducing ligand
81,12094148,"tnfsf10 protein, human"
81,12094148,tumor necrosis factor-alpha
81,12094148,fas receptor
84,11835230,teratogens
84,11835230,methimazole
84,11835230,propylthiouracil
84,11835230,carbimazole
85,12053283,thyrotropin
86,12118320,dna primers
86,12118320,"rna, messenger"
86,12118320,"rna, neoplasm"
86,12118320,telomerase rna
86,12118320,rna
86,12118320,telomerase
88,12192543,iodine radioisotopes
88,12192543,thyroid hormones
88,12192543,thyrotropin
88,12192543,iodine
90,12618333,dna primers
90,12618333,insulin-like growth factor binding protein 5
90,12618333,"rna, messenger"
93,12163229,immunosuppressive agents
94,12707632,iodine
94,12707632,thyroxine
95,14514161,"sodium chloride, dietary"
95,14514161,iodized salt
95,14514161,iodine
96,12691928,parathyroid hormone
96,12691928,radiopharmaceuticals
96,12691928,technetium tc 99m sestamibi
97,11961503,adrenal cortex hormones
97,11961503,antithyroid agents
97,11961503,iodine radioisotopes
97,11961503,thyroid hormones
97,11961503,thyrotropin
97,11961503,interferons
97,11961503,amiodarone
98,11838733,"contraceptives, oral"
98,11838733,iodine
99,12112820,carcinoembryonic antigen
99,12112820,synaptophysin
99,12112820,keratins
99,12112820,calcitonin
99,12112820,thyroglobulin
100,12762644,iodine
101,12843153,iodine radioisotopes
101,12843153,recombinant proteins
101,12843153,thyrotropin
102,12938097,iodides
102,12938097,iodide peroxidase
105,12192540,"sodium chloride, dietary"
105,12192540,iodized salt
105,12192540,iodine
105,12192540,sodium iodide
106,11943633,"sodium chloride, dietary"
106,11943633,iodized salt
106,11943633,iodine
107,14660812,iodine
