,PMID,Publication_type
0,12803008,journal article
1,12803008,review
2,12487770,journal article
3,12487770,review
4,14750279,english abstract
5,14750279,journal article
6,12588812,journal article
7,12588812,"research support, non-u.s. gov't"
8,12588812,review
9,12613335,case reports
10,12613335,english abstract
11,12613335,journal article
12,12613335,review
13,14599114,journal article
14,14599114,review
15,12508907,journal article
16,12508907,review
17,12459101,case reports
18,12459101,letter
19,12459101,review
20,14577110,english abstract
21,14577110,journal article
22,14577110,review
23,12150346,comment
24,12150346,letter
25,12025449,english abstract
26,12025449,journal article
27,14615127,comment
28,14615127,letter
29,14615126,comment
30,14615126,letter
31,11942003,comparative study
32,11942003,journal article
33,12504972,comparative study
34,12504972,journal article
35,12504972,multicenter study
36,12504972,"research support, non-u.s. gov't"
37,12504972,validation study
38,12587479,journal article
39,16444160,journal article
40,16444160,review
41,16444159,journal article
42,16444159,review
43,12380491,english abstract
44,12380491,journal article
45,12380491,review
46,11989300,comparative study
47,11989300,english abstract
48,11989300,journal article
49,11989300,review
50,12424486,journal article
51,12424486,"research support, non-u.s. gov't"
52,11936463,journal article
53,11936463,"research support, non-u.s. gov't"
54,11863477,journal article
55,11863477,"research support, non-u.s. gov't"
56,12064511,journal article
57,12213883,journal article
58,12213883,"research support, u.s. gov't, p.h.s."
59,15513011,journal article
60,15513011,review
61,12132533,case reports
62,12132533,journal article
63,12638522,historical article
64,12638522,journal article
65,12638522,review
66,12685194,journal article
67,12685194,"research support, non-u.s. gov't"
68,12005006,journal article
69,12005006,review
70,12398572,case reports
71,12398572,journal article
72,12481947,journal article
73,14595241,english abstract
74,14595241,journal article
75,12463103,journal article
76,12600858,journal article
77,12600858,"research support, non-u.s. gov't"
78,11989103,case reports
79,11989103,english abstract
80,11989103,journal article
81,11989103,review
82,12487773,journal article
83,12487773,review
84,14523350,journal article
85,14523350,review
86,14624790,case reports
87,14624790,journal article
88,12754043,case reports
89,12754043,journal article
90,12853515,journal article
91,14564411,journal article
92,14564411,"research support, non-u.s. gov't"
93,12878569,case reports
94,12878569,journal article
95,11796476,comment
96,11796476,letter
97,14759072,journal article
98,12899791,english abstract
99,12899791,journal article
100,12899791,"research support, non-u.s. gov't"
101,12516234,english abstract
102,12516234,journal article
103,12822643,case reports
104,12822643,journal article
105,12034056,journal article
106,12034056,"research support, non-u.s. gov't"
107,14626634,case reports
108,14626634,letter
109,12544137,journal article
110,14519572,case reports
111,14519572,journal article
112,11916611,journal article
113,11916611,"research support, non-u.s. gov't"
114,11916611,review
115,12615754,journal article
116,12615754,review
117,12024947,journal article
118,12008694,english abstract
119,12008694,journal article
120,12463104,journal article
121,12095600,journal article
122,12804110,case reports
123,12804110,journal article
124,12729472,journal article
125,12729472,"research support, non-u.s. gov't"
126,11961991,journal article
127,11961991,review
128,14510789,journal article
129,14510789,review
130,12841824,journal article
131,12841824,review
132,12240909,comment
133,12240909,letter
134,12240895,comment
135,12240895,editorial
136,12240895,review
137,12227399,journal article
138,12487767,journal article
139,12487767,"research support, non-u.s. gov't"
140,12487767,review
141,12973869,journal article
142,12973869,review
143,12762634,comparative study
144,12762634,journal article
145,12530620,case reports
146,12530620,journal article
147,12006721,case reports
148,12006721,journal article
149,12660649,journal article
150,12174459,english abstract
151,12174459,journal article
152,12174459,review
153,12490836,comparative study
154,12490836,journal article
155,12803064,english abstract
156,12803064,journal article
157,12803064,review
158,11891400,case reports
159,11891400,journal article
160,11891400,review
161,12690684,journal article
162,17016950,journal article
163,17016950,review
164,12679417,journal article
165,12679417,review
166,14602763,clinical trial
167,14602763,comparative study
168,14602763,journal article
169,14602763,randomized controlled trial
170,14602763,"research support, non-u.s. gov't"
171,12094148,journal article
172,12094148,review
173,11933818,journal article
174,11933818,review
175,12955839,case reports
176,12955839,journal article
177,12955839,review
178,11835230,journal article
179,11835230,review
180,12053283,journal article
181,12118320,journal article
182,12118320,"research support, non-u.s. gov't"
183,12118320,review
184,12584893,english abstract
185,12584893,journal article
186,12192543,journal article
187,12192543,review
188,12804111,case reports
189,12804111,journal article
190,12618333,journal article
191,12618333,"research support, non-u.s. gov't"
192,12957093,case reports
193,12957093,journal article
194,12173852,case reports
195,12173852,journal article
196,12163229,journal article
197,12163229,review
198,12707632,journal article
199,12707632,review
200,14514161,journal article
201,14514161,review
202,12691928,journal article
203,11961503,english abstract
204,11961503,journal article
205,11961503,review
206,11838733,journal article
