,PMID,Condition,Category
0,12803008,goiter,goiter
0,12803008,"goiter, nodular",goiter
0,12803008,thyrotoxicosis,hyperthyroidism
1,12487770,goiter,goiter
1,12487770,thyroid nodule,thyroid nodule
2,14750279,goiter,goiter
3,12588812,goiter,goiter
3,12588812,"goiter, nodular",goiter
4,12613335,goiter,goiter
4,12613335,"goiter, substernal",goiter
4,12613335,thyroidectomy,thyroid disease
5,14599114,goiter,goiter
5,14599114,"goiter, nodular",goiter
5,14599114,thyroid gland,thyroid disease
6,12508907,goiter,goiter
6,12508907,"goiter, nodular",goiter
6,12508907,hyperthyroidism,hyperthyroidism
6,12508907,graves' disease,hyperthyroidism
6,12508907,thyrotoxicosis,hyperthyroidism
7,12459101,goiter,goiter
7,12459101,"goiter, substernal",goiter
8,14577110,goiter,goiter
8,14577110,"goiter, nodular",goiter
8,14577110,thyroid gland,thyroid disease
8,14577110,thyroidectomy,thyroid disease
9,12150346,goiter,goiter
9,12150346,"goiter, nodular",goiter
10,12025449,goiter,goiter
10,12025449,"goiter, endemic",goiter
11,14615127,goiter,goiter
11,14615127,"goiter, nodular",goiter
11,14615127,hyperthyroidism,hyperthyroidism
11,14615127,graves disease,hyperthyroidism
11,14615127,thyroidectomy,thyroid disease
12,14615126,goiter,goiter
12,14615126,"goiter, nodular",goiter
12,14615126,hyperthyroidism,hyperthyroidism
12,14615126,graves disease,hyperthyroidism
13,11942003,goiter,goiter
13,11942003,"goiter, substernal",goiter
13,11942003,thyroidectomy,thyroid disease
14,12504972,goiter,goiter
14,12504972,"goiter, endemic",goiter
14,12504972,thyroid gland,thyroid disease
15,12587479,goiter,goiter
15,12587479,"goiter, substernal",goiter
16,16444160,goiter,goiter
16,16444160,hyperthyroidism,hyperthyroidism
16,16444160,hypothyroidism,hypothyroidism
16,16444160,hashimoto disease,thyroiditis
16,16444160,thyroiditis,thyroiditis
17,16444159,goiter,goiter
17,16444159,thyroid gland,thyroid disease
18,12380491,goiter,goiter
18,12380491,"goiter, endemic",goiter
19,11989300,goiter,goiter
19,11989300,"goiter, nodular",goiter
19,11989300,hyperthyroidism,hyperthyroidism
19,11989300,graves disease,hyperthyroidism
19,11989300,graves' disease,hyperthyroidism
20,12424486,goiter,goiter
20,12424486,thyroid gland,thyroid disease
21,11863477,goiter,goiter
22,12064511,goiter,goiter
22,12064511,"goiter, nodular",goiter
22,12064511,thyrotoxicosis,hyperthyroidism
22,12064511,thyroid neoplasms,thyroid neoplasms
22,12064511,thyroiditis,thyroiditis
22,12064511,thyroid gland,thyroid disease
22,12064511,thyroidectomy,thyroid disease
23,12213883,goiter,goiter
23,12213883,"goiter, nodular",goiter
23,12213883,thyroid gland,thyroid disease
23,12213883,thyroidectomy,thyroid disease
24,15513011,graves disease,hyperthyroidism
25,12132533,goiter,goiter
25,12132533,"goiter, nodular",goiter
25,12132533,thyrotoxicosis,hyperthyroidism
25,12132533,thyroid gland,thyroid disease
25,12132533,thyroidectomy,thyroid disease
26,12638522,graves disease,hyperthyroidism
26,12638522,graves' disease,hyperthyroidism
27,12685194,goiter,goiter
27,12685194,"thyroiditis, autoimmune",thyroiditis
27,12685194,thyroiditis,thyroiditis
27,12685194,thyroid gland,thyroid disease
28,12005006,goiter,goiter
28,12005006,"goiter, nodular",goiter
28,12005006,graves disease,hyperthyroidism
28,12005006,thyrotoxicosis,hyperthyroidism
28,12005006,thyroid neoplasms,thyroid neoplasms
28,12005006,thyroiditis,thyroiditis
29,12398572,goiter,goiter
29,12398572,congenital hypothyroidism,hypothyroidism
29,12398572,hypothyroidism,hypothyroidism
30,12481947,goiter,goiter
31,14595241,goiter,goiter
31,14595241,"goiter, nodular",goiter
31,14595241,hyperthyroidism,hyperthyroidism
31,14595241,thyroidectomy,thyroid disease
32,12463103,goiter,goiter
32,12463103,thyroid gland,thyroid disease
33,12600858,goiter,goiter
33,12600858,"goiter, endemic",goiter
33,12600858,thyroid gland,thyroid disease
34,11989103,goiter,goiter
34,11989103,"goiter, nodular",goiter
34,11989103,hyperthyroidism,hyperthyroidism
34,11989103,thyroid neoplasms,thyroid neoplasms
35,12487773,goiter,goiter
35,12487773,hyperthyroidism,hyperthyroidism
36,14523350,hyperthyroidism,hyperthyroidism
36,14523350,graves disease,hyperthyroidism
36,14523350,graves' disease,hyperthyroidism
37,14624790,goiter,goiter
38,12754043,goiter,goiter
38,12754043,"goiter, substernal",goiter
39,12853515,goiter,goiter
39,12853515,"goiter, substernal",goiter
40,14564411,goiter,goiter
40,14564411,thyroid nodule,thyroid nodule
41,12878569,goiter,goiter
41,12878569,"goiter, substernal",goiter
42,11796476,goiter,goiter
42,11796476,"goiter, nodular",goiter
43,15524155,goiter,goiter
44,14759072,goiter,goiter
44,14759072,thyroid gland,thyroid disease
45,12899791,goiter,goiter
45,12899791,"goiter, nodular",goiter
46,12516234,goiter,goiter
46,12516234,thyroid disease,thyroid disease
46,12516234,thyroid diseases,thyroid disease
46,12516234,thyroidectomy,thyroid disease
47,11936463,goiter,goiter
47,11936463,thyroid gland,thyroid disease
48,12822643,goiter,goiter
48,12822643,"goiter, nodular",goiter
48,12822643,"goiter, substernal",goiter
48,12822643,hyperthyroidism,hyperthyroidism
48,12822643,thyroid gland,thyroid disease
48,12822643,thyroidectomy,thyroid disease
49,12034056,goiter,goiter
50,14626634,goiter,goiter
50,14626634,thyroid gland,thyroid disease
51,12544137,goiter,goiter
51,12544137,"goiter, nodular",goiter
51,12544137,"goiter, substernal",goiter
51,12544137,thyroid gland,thyroid disease
52,14519572,goiter,goiter
52,14519572,thyroid gland,thyroid disease
53,11916611,graves disease,hyperthyroidism
53,11916611,graves' disease,hyperthyroidism
54,12615754,hyperthyroidism,hyperthyroidism
54,12615754,graves disease,hyperthyroidism
54,12615754,graves' disease,hyperthyroidism
55,12024947,goiter,goiter
56,12008694,goiter,goiter
56,12008694,"goiter, endemic",goiter
57,12463104,goiter,goiter
58,12095600,goiter,goiter
59,12804110,goiter,goiter
59,12804110,thyroidectomy,thyroid disease
60,12729472,goiter,goiter
60,12729472,thyroid neoplasms,thyroid neoplasms
60,12729472,thyroid gland,thyroid disease
61,11961991,goiter,goiter
62,14510789,graves disease,hyperthyroidism
62,14510789,graves' disease,hyperthyroidism
63,12841824,hyperthyroidism,hyperthyroidism
63,12841824,graves disease,hyperthyroidism
63,12841824,hypothyroidism,hypothyroidism
64,12240909,goiter,goiter
64,12240909,"goiter, nodular",goiter
65,12240895,goiter,goiter
65,12240895,thyroid gland,thyroid disease
66,12227399,goiter,goiter
66,12227399,"goiter, nodular",goiter
66,12227399,thyroid disease,thyroid disease
66,12227399,thyroid diseases,thyroid disease
67,12487767,hyperthyroidism,hyperthyroidism
67,12487767,graves disease,hyperthyroidism
67,12487767,graves' disease,hyperthyroidism
67,12487767,hypothyroidism,hypothyroidism
68,12973869,graves disease,hyperthyroidism
69,12762634,goiter,goiter
69,12762634,thyroid gland,thyroid disease
70,12530620,goiter,goiter
70,12530620,congenital hypothyroidism,hypothyroidism
70,12530620,hypothyroidism,hypothyroidism
71,12006721,goiter,goiter
71,12006721,graves disease,hyperthyroidism
71,12006721,graves' disease,hyperthyroidism
72,12660649,goiter,goiter
72,12660649,"goiter, nodular",goiter
72,12660649,thyroidectomy,thyroid disease
73,12174459,hyperthyroidism,hyperthyroidism
