Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,7982031,NCT04383795,OTHER,lead,Seoul St. Mary's Hospital,Health care Institution
1,7983994,NCT04359979,OTHER_GOV,lead,Sheba Medical Center,Health care Institution
2,7982631,NCT04376203,OTHER,lead,University of Ioannina,University
3,7982890,NCT04372225,OTHER,lead,Aix Marseille Université,Other
4,7984409,NCT04354896,OTHER,lead,"University Hospital Inselspital, Berne",Health care Institution
5,7984410,NCT04354896,OTHER,collaborator,University of Lausanne Hospitals,Health care Institution
6,7984411,NCT04354896,OTHER,collaborator,Leiden University Medical Center,Health care Institution
7,7985704,NCT04339127,OTHER,lead,Hospices Civils de Lyon,Health care Institution
8,7984445,NCT04354324,OTHER,lead,Zhujiang Hospital,Health care Institution
9,7985055,NCT04346901,OTHER,lead,"Dr.dr.Irma Bernadette, SpKK (K)",Other
10,7985245,NCT04344886,OTHER,lead,University Hospital Ostrava,Health care Institution
11,8083283,NCT03530462,OTHER,lead,First Affiliated Hospital of Zhejiang University,Health care Institution
12,7985683,NCT04339478,OTHER,lead,Aristotle University Of Thessaloniki,University
13,7985684,NCT04339478,OTHER_GOV,collaborator,Umraniye Education and Research Hospital,Health care Institution
14,7985685,NCT04339478,OTHER,collaborator,The Hashemite University,University
15,7985692,NCT04339205,OTHER,lead,Hospices Civils de Lyon,Health care Institution
16,7986174,NCT04333342,OTHER,lead,Seoul National University Bundang Hospital,Health care Institution
17,8098950,NCT03382158,OTHER,lead,Children's Hospitals and Clinics of Minnesota,Health care Institution
18,8098951,NCT03382158,OTHER,collaborator,Children's National Research Institute,Other
19,8098952,NCT03382158,OTHER,collaborator,Washington University School of Medicine,University
20,8098953,NCT03382158,UNKNOWN,collaborator,"ResourcePath, LLC",Other
21,8098954,NCT03382158,OTHER,collaborator,Beijing Children's Hospital,Health care Institution
22,8098955,NCT03382158,OTHER,collaborator,University of Cambridge,University
23,8098956,NCT03382158,OTHER,collaborator,Emory University,University
24,8098957,NCT03382158,OTHER,collaborator,Dana-Farber Cancer Institute,Health care Institution
25,7985903,NCT04336696,OTHER_GOV,lead,Bassem Mohamed Sieda,Other
26,8083316,NCT03530033,OTHER,lead,"Bo Wang,MD",Other
27,7848986,NCT01263951,OTHER,lead,Thomas Jefferson University,University
28,7986227,NCT04332770,OTHER,lead,Seoul National University Bundang Hospital,Health care Institution
29,7848987,NCT01263951,INDUSTRY,collaborator,Bayer,Other
30,7848988,NCT01263951,INDUSTRY,collaborator,Novartis Pharmaceuticals,Other
31,7988405,NCT04304794,OTHER,lead,Medical University of Warsaw,University
32,7986459,NCT04329455,OTHER,lead,Assiut University,University
33,7987865,NCT04312087,OTHER,lead,Fudan University,University
34,7986972,NCT04323007,OTHER,lead,Merna Makram,Other
35,7986973,NCT04323007,OTHER,collaborator,Assiut University,University
36,7987441,NCT04316845,OTHER,lead,Buddhist Tzu Chi General Hospital,Health care Institution
37,7987806,NCT04312646,OTHER,lead,Assiut University,University
38,7988106,NCT04309136,OTHER,lead,Fudan University,University
39,7988406,NCT04304794,OTHER,collaborator,"Institute of Cardiology, Warsaw, Poland",Other
40,7988445,NCT04304573,OTHER,lead,"University Hospital ""Sestre Milosrdnice""",Health care Institution
41,7989770,NCT04288531,OTHER,lead,University of Minho,University
42,7988953,NCT04298684,OTHER,lead,Centre Hospitalier Universitaire de Pointe-a-Pitre,Health care Institution
43,8114841,NCT03226171,INDUSTRY,lead,"Sanwa Kagaku Kenkyusho Co., Ltd.",Industry
44,7989622,NCT04290663,OTHER,lead,Centre Francois Baclesse,Health care Institution
45,7989623,NCT04290663,UNKNOWN,collaborator,French cancer Institute INCa,Other
46,7989771,NCT04288531,UNKNOWN,collaborator,"Instituto Nacional de Saúde Dr Ricardo Jorge, Portugal",Other
47,7989772,NCT04288531,OTHER,collaborator,Clinical Academic Center (2CA-Braga),Other
48,7989773,NCT04288531,OTHER,collaborator,Hospital de Braga,Health care Institution
49,7989774,NCT04288531,OTHER,collaborator,"Administração Regional de Saúde do Norte, Portugal",Other
50,8084515,NCT03517579,OTHER,lead,Johns Hopkins University,University
51,7990412,NCT04280081,INDUSTRY,lead,"Loxo Oncology, Inc.",Industry
52,7990413,NCT04280081,INDUSTRY,collaborator,Eli Lilly and Company,Other
53,7990477,NCT04279184,OTHER,lead,Nykøbing Falster County Hospital,Health care Institution
54,7990478,NCT04279184,OTHER,collaborator,Region Zealand,Other
55,7990479,NCT04279184,OTHER,collaborator,Zealand University Hospital,Health care Institution
56,7990480,NCT04279184,OTHER,collaborator,University of Southern Denmark,University
57,7991224,NCT04270110,OTHER,lead,Assiut University,University
58,8084546,NCT03517267,OTHER,lead,Rambam Health Care Campus,Other
59,7990842,NCT04274829,OTHER,lead,University of Cagliari,University
60,8084595,NCT03516773,INDUSTRY,lead,Entera Bio Ltd.,Industry
61,8084598,NCT03516747,OTHER,lead,"HaEmek Medical Center, Israel",Health care Institution
62,8084871,NCT03514251,OTHER,lead,"Bo Wang,MD",Other
63,8084714,NCT03515863,OTHER,lead,Sun Yat-sen University,University
64,7991330,NCT04268407,OTHER,lead,Chang Gung Memorial Hospital,Health care Institution
65,7991386,NCT04267965,OTHER,lead,Chang Gung Memorial Hospital,Health care Institution
66,7992683,NCT04252001,OTHER,lead,dr. Laura C. G. de Graaff-Herder,Other
67,7993044,NCT04787328,INDUSTRY,lead,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",Industry
68,7716441,NCT03764007,OTHER,lead,Thomas Hope,Other
